Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite 4,Chrome 67.0.3396.99,Recoder,2018-07-24 17:49:47,2018-07-24 17:50:20,32.519s,PASSED
,,,,,,
Test Cases/Katalon Recoder 1,Chrome 67.0.3396.99,Record option,2018-07-24 17:49:48,2018-07-24 17:50:19,31.529s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:49:48,2018-07-24 17:50:17,29.373s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 67.0.3396.99,,2018-07-24 17:50:17,2018-07-24 17:50:17,0.008s,PASSED
"Statement - baseUrl = ""https://www.katalon.com/""",Chrome 67.0.3396.99,,2018-07-24 17:50:17,2018-07-24 17:50:17,0.001s,PASSED
"Statement - selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 67.0.3396.99,,2018-07-24 17:50:17,2018-07-24 17:50:18,0.122s,PASSED
"Statement - selenium.open(""https://www.katalon.com/sign-up/"")",Chrome 67.0.3396.99,,2018-07-24 17:50:18,2018-07-24 17:50:19,1.128s,PASSED
"Statement - selenium.type(""id=user_login"", ""svgsfg"")",Chrome 67.0.3396.99,,2018-07-24 17:50:19,2018-07-24 17:50:19,0.094s,PASSED
"Statement - selenium.click(""id=user_email"")",Chrome 67.0.3396.99,,2018-07-24 17:50:19,2018-07-24 17:50:19,0.107s,PASSED
"Statement - selenium.type(""id=user_email"", ""drgh"")",Chrome 67.0.3396.99,,2018-07-24 17:50:19,2018-07-24 17:50:19,0.056s,PASSED
"Statement - selenium.click(""id=user_pass"")",Chrome 67.0.3396.99,,2018-07-24 17:50:19,2018-07-24 17:50:19,0.084s,PASSED
"Statement - selenium.type(""id=user_pass"", ""ethyet"")",Chrome 67.0.3396.99,,2018-07-24 17:50:19,2018-07-24 17:50:19,0.061s,PASSED
"Statement - selenium.click(""id=signup-btn"")",Chrome 67.0.3396.99,,2018-07-24 17:50:19,2018-07-24 17:50:19,0.073s,PASSED
