Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite 2,Firefox 60.0,Validation links,2018-07-24 15:41:06,2018-07-24 15:41:54,47.380s,PASSED
,,,,,,
Test Cases/Logi_Script/Demo 2,Firefox 60.0,123,2018-07-24 15:41:06,2018-07-24 15:41:53,46.890s,PASSED
openBrowser,Firefox 60.0,,2018-07-24 15:41:07,2018-07-24 15:41:32,25.749s,PASSED
navigateToUrl,Firefox 60.0,,2018-07-24 15:41:32,2018-07-24 15:41:37,4.980s,PASSED
setText,Firefox 60.0,,2018-07-24 15:41:37,2018-07-24 15:41:38,0.097s,PASSED
setEncryptedText,Firefox 60.0,,2018-07-24 15:41:38,2018-07-24 15:41:38,0.222s,PASSED
click,Firefox 60.0,,2018-07-24 15:41:38,2018-07-24 15:41:40,2.166s,PASSED
click,Firefox 60.0,,2018-07-24 15:41:40,2018-07-24 15:41:41,0.724s,PASSED
click,Firefox 60.0,,2018-07-24 15:41:41,2018-07-24 15:41:41,0.740s,PASSED
delay,Firefox 60.0,,2018-07-24 15:41:41,2018-07-24 15:41:43,2.022s,PASSED
click,Firefox 60.0,,2018-07-24 15:41:43,2018-07-24 15:41:45,1.662s,PASSED
click,Firefox 60.0,,2018-07-24 15:41:45,2018-07-24 15:41:47,1.385s,PASSED
delay,Firefox 60.0,,2018-07-24 15:41:47,2018-07-24 15:41:51,4.003s,PASSED
click,Firefox 60.0,,2018-07-24 15:41:51,2018-07-24 15:41:51,0.507s,PASSED
click,Firefox 60.0,,2018-07-24 15:41:51,2018-07-24 15:41:53,2.352s,PASSED
