Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite 4,Chrome 67.0.3396.99,Recoder,2018-07-24 17:46:06,2018-07-24 17:46:43,36.483s,PASSED
,,,,,,
Test Cases/Katalon Recoder 1,Chrome 67.0.3396.99,Record option,2018-07-24 17:46:06,2018-07-24 17:46:42,35.593s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:46:07,2018-07-24 17:46:39,32.607s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 67.0.3396.99,,2018-07-24 17:46:39,2018-07-24 17:46:39,0.012s,PASSED
"Statement - baseUrl = ""https://www.katalon.com/""",Chrome 67.0.3396.99,,2018-07-24 17:46:39,2018-07-24 17:46:39,0.001s,PASSED
"Statement - selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 67.0.3396.99,,2018-07-24 17:46:39,2018-07-24 17:46:39,0.096s,PASSED
"Statement - selenium.open(""https://www.katalon.com/sign-up/"")",Chrome 67.0.3396.99,,2018-07-24 17:46:39,2018-07-24 17:46:41,1.984s,PASSED
"Statement - selenium.type(""id=user_login"", ""svgsfg"")",Chrome 67.0.3396.99,,2018-07-24 17:46:41,2018-07-24 17:46:41,0.098s,PASSED
"Statement - selenium.click(""id=user_email"")",Chrome 67.0.3396.99,,2018-07-24 17:46:41,2018-07-24 17:46:42,0.113s,PASSED
"Statement - selenium.type(""id=user_email"", ""drgh"")",Chrome 67.0.3396.99,,2018-07-24 17:46:42,2018-07-24 17:46:42,0.070s,PASSED
"Statement - selenium.click(""id=user_pass"")",Chrome 67.0.3396.99,,2018-07-24 17:46:42,2018-07-24 17:46:42,0.071s,PASSED
"Statement - selenium.type(""id=user_pass"", ""ethyet"")",Chrome 67.0.3396.99,,2018-07-24 17:46:42,2018-07-24 17:46:42,0.059s,PASSED
"Statement - selenium.click(""id=signup-btn"")",Chrome 67.0.3396.99,,2018-07-24 17:46:42,2018-07-24 17:46:42,0.075s,PASSED
