Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite 3,Firefox 60.0,Demo,2018-07-24 16:37:12,2018-07-24 16:38:33,1m - 21.276s,PASSED
,,,,,,
Test Cases/Demo 7,Firefox 60.0,links validation,2018-07-24 16:37:12,2018-07-24 16:37:54,41.405s,PASSED
openBrowser,Firefox 60.0,,2018-07-24 16:37:13,2018-07-24 16:37:39,26.197s,PASSED
navigateToUrl,Firefox 60.0,,2018-07-24 16:37:39,2018-07-24 16:37:44,4.666s,PASSED
setText,Firefox 60.0,,2018-07-24 16:37:44,2018-07-24 16:37:44,0.118s,PASSED
click,Firefox 60.0,,2018-07-24 16:37:44,2018-07-24 16:37:44,0.243s,PASSED
setEncryptedText,Firefox 60.0,,2018-07-24 16:37:44,2018-07-24 16:37:44,0.213s,PASSED
click,Firefox 60.0,,2018-07-24 16:37:44,2018-07-24 16:37:46,2.141s,PASSED
click,Firefox 60.0,,2018-07-24 16:37:46,2018-07-24 16:37:48,1.735s,PASSED
click,Firefox 60.0,,2018-07-24 16:37:48,2018-07-24 16:37:49,0.619s,PASSED
click,Firefox 60.0,,2018-07-24 16:37:49,2018-07-24 16:37:50,1.367s,PASSED
setText,Firefox 60.0,,2018-07-24 16:37:50,2018-07-24 16:37:50,0.068s,PASSED
setText,Firefox 60.0,,2018-07-24 16:37:50,2018-07-24 16:37:50,0.032s,PASSED
setText,Firefox 60.0,,2018-07-24 16:37:50,2018-07-24 16:37:50,0.034s,PASSED
setText,Firefox 60.0,,2018-07-24 16:37:50,2018-07-24 16:37:50,0.033s,PASSED
click,Firefox 60.0,,2018-07-24 16:37:50,2018-07-24 16:37:52,1.757s,PASSED
click,Firefox 60.0,,2018-07-24 16:37:52,2018-07-24 16:37:53,0.578s,PASSED
click,Firefox 60.0,,2018-07-24 16:37:53,2018-07-24 16:37:54,1.101s,PASSED
doubleClick,Firefox 60.0,,2018-07-24 16:37:54,2018-07-24 16:37:54,0.179s,PASSED
,,,,,,
Test Cases/Demo 8,Firefox 60.0,Validation,2018-07-24 16:37:54,2018-07-24 16:38:33,39.340s,PASSED
openBrowser,Firefox 60.0,,2018-07-24 16:37:54,2018-07-24 16:38:19,25.058s,PASSED
navigateToUrl,Firefox 60.0,,2018-07-24 16:38:19,2018-07-24 16:38:24,4.752s,PASSED
setText,Firefox 60.0,,2018-07-24 16:38:24,2018-07-24 16:38:24,0.069s,PASSED
setEncryptedText,Firefox 60.0,,2018-07-24 16:38:24,2018-07-24 16:38:24,0.031s,PASSED
click,Firefox 60.0,,2018-07-24 16:38:24,2018-07-24 16:38:26,2.136s,PASSED
click,Firefox 60.0,,2018-07-24 16:38:26,2018-07-24 16:38:28,1.856s,PASSED
click,Firefox 60.0,,2018-07-24 16:38:28,2018-07-24 16:38:29,1.541s,PASSED
click,Firefox 60.0,,2018-07-24 16:38:29,2018-07-24 16:38:30,0.241s,PASSED
click,Firefox 60.0,,2018-07-24 16:38:30,2018-07-24 16:38:30,0.226s,PASSED
click,Firefox 60.0,,2018-07-24 16:38:30,2018-07-24 16:38:31,1.163s,PASSED
click,Firefox 60.0,,2018-07-24 16:38:31,2018-07-24 16:38:31,0.264s,PASSED
setText,Firefox 60.0,,2018-07-24 16:38:31,2018-07-24 16:38:31,0.068s,PASSED
click,Firefox 60.0,,2018-07-24 16:38:31,2018-07-24 16:38:33,1.799s,PASSED
